trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.8388910504234147}",30,0,-197.28873662462792,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
96,False,"{'a': 0.5, 'e': 0.8347951298093854}",35,0,-49.49718021764603,"{0: 27, 1: 2, 2: 5, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.8306161030659813}",30,0,-60.70737064184546,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.826353352980995}",35,0,-126.4697526241394,"{0: 23, 1: 7, 2: 2, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.8220063142137535}",25,18,-3.347444800318841,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.8175744761936437}",20,0,-30.79687754918666,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.8130573860319537}",25,6,-121.09778117385854,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 2}",1
102,False,"{'a': 0.5, 'e': 0.8084546514385326}",20,0,-22.884264721250727,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.8037659436342208}",20,0,-113.78822445899462,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.7989910002494707}",25,0,-180.29438338855033,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.7941296281990525}",30,0,-173.7120677802412,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.7891817065222528}",25,0,-96.91729924984496,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.7841471891774855}",25,7,-113.94863428234957,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 3}",1
108,False,"{'a': 0.5, 'e': 0.7790261077798122}",30,8,-136.44133664691404,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 2}",1
109,False,"{'a': 0.5, 'e': 0.7738185742694538}",25,6,-130.79964696798856,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.7685247834990175}",25,0,-108.60155041925576,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.7631450157268554}",20,0,-65.34546898765066,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.7576796390037048}",30,0,-175.21267613948194,"{0: 19, 1: 6, 2: 1, 3: 0, 4: 4}",0
113,False,"{'a': 0.5, 'e': 0.7521291114395701}",20,0,-90.62421139743597,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.7464939833376621}",25,5,-22.82490419138109,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.740774899182154}",20,9,-1.6659733431565287,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.7349725994665188}",25,0,-100.46271772679489,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.7290879223493065}",20,10,-8.387708382193411,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.7231218051243898}",20,0,-7.959874110819125,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.7170752854929725}",20,0,-70.76425630237799,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
